lines_changed,files_touched,author_exp,repo,weekday,pr_close_time_hours,pr_merged
58.240346532704876,2,9,A,Thu,22.115029173275303,1
43.743086605506875,1,0,B,Tue,60.30349904617249,0
41.78893392089143,3,4,A,Sat,56.26898873347053,0
41.789263420687234,2,6,B,Tue,47.27681144390348,0
89.76984108392972,2,7,B,Sat,41.090830610251984,1
65.28583054439358,3,1,A,Mon,65.66561295928021,0
37.241807520689875,4,3,C,Tue,51.02290252192182,1
59.39592388891157,3,1,A,Mon,57.18490994124731,0
52.09123031639806,7,3,C,Mon,65.79016125818808,0
16.336432881033907,3,5,A,Mon,32.41273113290835,0
28.02830389506173,3,5,C,Wed,40.91744160136243,1
53.78967665370057,3,1,B,Fri,59.834155314686555,0
86.02850698329449,5,3,C,Fri,57.77341429379388,1
41.95728440976434,5,3,B,Thu,46.61461559783848,1
35.866837977629885,4,0,A,Mon,54.96812833701661,1
49.10411519564703,4,1,B,Wed,64.09773986605607,0
34.85679291779056,2,2,C,Tue,48.7429284274909,1
40.64472381615764,6,4,C,Tue,62.62644859826447,0
46.375700116436455,3,7,A,Thu,34.51788274669247,1
27.343796345805686,2,5,B,Thu,26.160808077452756,1
66.78634864808792,6,2,A,Mon,65.88550157019854,1
24.94965684932275,4,5,B,Mon,30.630034984717405,1
23.453122153740765,3,6,A,Tue,30.57934082214114,1
51.049844581982704,3,5,A,Tue,38.758185933773134,1
64.50618827460617,6,9,C,Tue,45.95902726877833,0
50.46739776828299,4,5,A,Tue,36.77605652835107,1
44.212694796930094,2,0,B,Fri,54.28229457401744,0
40.459614490298954,1,2,B,Mon,43.984317925146506,1
37.406267794135516,3,6,A,Mon,31.49230078722266,1
73.43068035763895,4,3,A,Tue,68.41660383374415,0
54.02361783304215,5,3,B,Wed,49.050323350583454,1
38.83244294334417,6,6,A,Tue,36.62487967846799,1
33.51771140928016,2,8,C,Sat,35.062721575577974,1
61.16678151852277,4,1,C,Sun,67.58303746910153,0
72.66989391395077,4,8,A,Sun,52.118743954484366,1
69.81403455268232,0,2,A,Thu,38.3512359731723,1
30.783782011422826,4,5,A,Sat,40.19558579724408,1
40.30055476908806,5,3,B,Wed,51.48817385456521,1
37.061816777634824,2,0,A,Thu,59.55147778366578,0
42.76977471129558,5,8,A,Sun,32.743952247306595,1
66.51186087262964,4,5,B,Wed,52.530463735617,1
82.52379310350109,5,7,C,Thu,47.836747366938276,1
54.922941705052594,2,1,A,Tue,51.538383726097024,0
34.0717207960123,2,6,A,Tue,28.467502908046157,1
45.897006234167876,0,5,C,Wed,28.35937669681681,1
89.28391701500053,4,1,B,Thu,62.25099315704655,1
48.57246864879489,1,1,B,Fri,53.45881995699318,1
40.50080433285465,2,3,B,Wed,41.203931327714635,1
42.080246557531254,3,3,C,Wed,44.15044143007719,1
54.81408603486371,2,2,B,Sat,52.06770655909376,0
31.28947451846767,2,7,C,Mon,33.0646066876611,1
36.645018378591885,1,6,B,Wed,37.49224119762759,1
69.36632895839105,3,1,B,Fri,56.71105248221028,1
54.13485160458006,4,2,A,Tue,68.72706413253535,0
48.795351770206786,6,9,A,Thu,32.03866379895345,1
70.87518837623487,3,8,B,Mon,37.19012470352503,0
33.08418928321974,2,4,A,Thu,50.63868050633363,0
39.94019893495078,3,1,B,Tue,50.508683255677504,1
53.36033831577544,1,2,A,Wed,43.76587167802437,1
52.53632148719411,2,7,C,Sat,41.890620325512415,0
22.28262522310264,1,3,A,Fri,29.534607911287146,1
38.15673652359695,3,1,C,Mon,41.89100994515046,1
43.268488033066234,4,1,B,Fri,54.11651537472464,1
55.950662525440755,2,5,A,Sun,50.36194495428598,0
52.45442734345915,2,7,B,Fri,40.46017783353857,1
45.07685432235455,3,6,A,Fri,41.44856447003961,1
16.277585030731327,2,3,A,Fri,49.432339312003286,0
46.09624158404977,2,1,A,Tue,56.571415095133815,1
47.97991763080092,3,8,A,Fri,34.0454590582084,1
122.66642632254785,1,3,C,Sat,63.81227727618455,0
42.63331701045576,6,8,A,Fri,41.08859627030252,1
53.48863754403147,2,4,B,Tue,47.07575216291588,1
75.96384060165855,2,6,A,Thu,41.15368853487881,1
64.8678447108112,2,4,B,Tue,38.97453807191779,1
84.0032032534471,4,1,A,Sun,60.87529335495709,0
22.461521566165793,1,5,B,Sun,35.70429281877041,1
28.372550622119867,2,6,B,Sat,34.06788196235659,1
35.47107826122999,4,5,B,Sat,43.18970980730552,1
20.54442652807346,3,2,A,Wed,56.50757867671412,0
48.163521067990224,3,9,B,Tue,32.13758864497424,0
29.489382096392983,3,7,A,Thu,21.514400876973916,1
88.79510261609157,6,2,A,Wed,74.33829716334496,0
